day,pool_name,minted_tokens,redeemed_tokens,net_flow,outstanding_supply
2025-09-01,PT-USDe-25SEP2025,64040629,10912330,53128299,53128299
2025-09-02,PT-USDe-25SEP2025,101833890,24445494,77388395,130516694
2025-09-03,PT-USDe-25SEP2025,99493259,6452386,93040873,223557567
2025-09-04,PT-USDe-25SEP2025,88501781,9196556,79305225,302862792
2025-09-05,PT-USDe-25SEP2025,78309528,36505639,41803889,344666681
2025-09-06,PT-USDe-25SEP2025,74534176,17221801,57312374,401979056
2025-09-07,PT-USDe-25SEP2025,14288919,1418732,12870187,414849243
2025-09-08,PT-USDe-25SEP2025,99166747,16323983,82842764,497692006
2025-09-09,PT-USDe-25SEP2025,146246047,116432592,29813455,527505462
2025-09-10,PT-USDe-25SEP2025,34982421,7746161,27236259,554741721
2025-09-11,PT-USDe-25SEP2025,28675732,26739606,1936125,556677846
2025-09-12,PT-USDe-25SEP2025,26762925,20468474,6294451,562972298
2025-09-13,PT-USDe-25SEP2025,60318895,311407268,-251088373,311883924
2025-09-14,PT-USDe-25SEP2025,37813815,48411040,-10597225,301286699
2025-09-15,PT-USDe-25SEP2025,92445959,15627442,76818517,378105216
2025-09-16,PT-USDe-25SEP2025,38499923,22455659,16044264,394149480
2025-09-17,PT-USDe-25SEP2025,11634184,26141735,-14507551,379641929
2025-09-18,PT-USDe-25SEP2025,7273640,62033162,-54759522,324882408
2025-09-19,PT-USDe-25SEP2025,31009089,63228035,-32218946,292663462
2025-09-20,PT-USDe-25SEP2025,8583735,102129181,-93545446,199118016
2025-09-21,PT-USDe-25SEP2025,5935830,65001280,-59065450,140052566
2025-09-22,PT-USDe-25SEP2025,14596083,157874253,-143278169,-3225604
2025-09-23,PT-USDe-25SEP2025,64873275,362836176,-297962901,-301188504
2025-09-24,PT-USDe-25SEP2025,75276821,511666694,-436389873,-737578378
2025-09-25,PT-USDe-25SEP2025,0,2874240512,-2874240512,-3611818889
2025-09-26,PT-USDe-25SEP2025,0,123888457,-123888457,-3735707346
2025-09-27,PT-USDe-25SEP2025,0,123462894,-123462894,-3859170240
2025-09-28,PT-USDe-25SEP2025,0,18819446,-18819446,-3877989687
2025-09-29,PT-USDe-25SEP2025,0,29150703,-29150703,-3907140389
2025-09-30,PT-USDe-25SEP2025,0,22361203,-22361203,-3929501592
2025-10-01,PT-USDe-25SEP2025,0,15063405,-15063405,-3944564997
2025-10-02,PT-USDe-25SEP2025,0,73358911,-73358911,-4017923908
2025-10-03,PT-USDe-25SEP2025,0,7024115,-7024115,-4024948023
2025-10-04,PT-USDe-25SEP2025,0,2765687,-2765687,-4027713710
2025-10-05,PT-USDe-25SEP2025,0,7941502,-7941502,-4035655212
2025-10-06,PT-USDe-25SEP2025,0,7122462,-7122462,-4042777673
2025-10-07,PT-USDe-25SEP2025,0,17627598,-17627598,-4060405271
2025-10-08,PT-USDe-25SEP2025,0,5653507,-5653507,-4066058778
2025-10-09,PT-USDe-25SEP2025,0,2849051,-2849051,-4068907830
2025-10-10,PT-USDe-25SEP2025,0,1580175,-1580175,-4070488004
2025-10-11,PT-USDe-25SEP2025,0,674857,-674857,-4071162862
2025-10-12,PT-USDe-25SEP2025,0,149339,-149339,-4071312201
2025-10-13,PT-USDe-25SEP2025,0,1745342,-1745342,-4073057543
2025-10-14,PT-USDe-25SEP2025,0,212023,-212023,-4073269567
2025-09-01,PT-USDe-27NOV2025,0,1771,-1770,-1770
2025-09-02,PT-USDe-27NOV2025,89164,22761,66403,64633
2025-09-03,PT-USDe-27NOV2025,94287,10106,84181,148814
2025-09-04,PT-USDe-27NOV2025,694831,0,694831,843644
2025-09-05,PT-USDe-27NOV2025,1180428,174231,1006197,1849841
2025-09-06,PT-USDe-27NOV2025,1453129,260895,1192233,3042075
2025-09-07,PT-USDe-27NOV2025,9568253,100000,9468253,12510328
2025-09-08,PT-USDe-27NOV2025,6095393,916504,5178889,17689218
2025-09-09,PT-USDe-27NOV2025,74343317,10811704,63531613,81220831
2025-09-10,PT-USDe-27NOV2025,10172536,227701,9944835,91165666
2025-09-11,PT-USDe-27NOV2025,71426531,2149415,69277116,160442782
2025-09-12,PT-USDe-27NOV2025,60511902,516707,59995195,220437976
2025-09-13,PT-USDe-27NOV2025,310637847,219007,310418840,530856816
2025-09-14,PT-USDe-27NOV2025,16175585,65937,16109648,546966464
2025-09-15,PT-USDe-27NOV2025,26471875,22349558,4122317,551088781
2025-09-16,PT-USDe-27NOV2025,134621223,1735429,132885793,683974574
2025-09-17,PT-USDe-27NOV2025,16584028,3158902,13425126,697399700
2025-09-18,PT-USDe-27NOV2025,308194522,80480184,227714338,925114038
2025-09-19,PT-USDe-27NOV2025,62885958,9873862,53012095,978126133
2025-09-20,PT-USDe-27NOV2025,13885414,14850825,-965411,977160722
2025-09-21,PT-USDe-27NOV2025,4269827,11066742,-6796915,970363807
2025-09-22,PT-USDe-27NOV2025,25444333,111433123,-85988790,884375017
2025-09-23,PT-USDe-27NOV2025,33850823,70067100,-36216277,848158739
2025-09-24,PT-USDe-27NOV2025,7945012,327309993,-319364982,528793758
2025-09-25,PT-USDe-27NOV2025,161924414,124016377,37908036,566701794
2025-09-26,PT-USDe-27NOV2025,32705469,25673314,7032155,573733949
2025-09-27,PT-USDe-27NOV2025,1397096,27478350,-26081254,547652695
2025-09-28,PT-USDe-27NOV2025,12648498,24701316,-12052818,535599877
2025-09-29,PT-USDe-27NOV2025,13786894,4228204,9558690,545158567
2025-09-30,PT-USDe-27NOV2025,8135133,39768728,-31633595,513524972
2025-10-01,PT-USDe-27NOV2025,11971807,90286869,-78315062,435209910
2025-10-02,PT-USDe-27NOV2025,34426275,8993818,25432457,460642367
2025-10-03,PT-USDe-27NOV2025,3557931,36453,3521477,464163845
2025-10-04,PT-USDe-27NOV2025,1516808,16402457,-14885649,449278196
2025-10-05,PT-USDe-27NOV2025,1777355,23228329,-21450974,427827221
2025-10-06,PT-USDe-27NOV2025,117922,26104345,-25986423,401840798
2025-10-07,PT-USDe-27NOV2025,93026,24345309,-24252283,377588515
2025-10-08,PT-USDe-27NOV2025,1267993,3142493,-1874500,375714015
2025-10-09,PT-USDe-27NOV2025,2366260,3277470,-911210,374802804
2025-10-10,PT-USDe-27NOV2025,46110,16551706,-16505596,358297208
2025-10-11,PT-USDe-27NOV2025,9983131,94302676,-84319546,273977663
2025-10-12,PT-USDe-27NOV2025,30067364,8983527,21083836,295061499
2025-10-13,PT-USDe-27NOV2025,1444580,8701641,-7257061,287804438
2025-10-14,PT-USDe-27NOV2025,87481,18200000,-18112519,269691919
2025-09-01,PT-sUSDE-25SEP2025,22230390,21686763,543627,543627
2025-09-02,PT-sUSDE-25SEP2025,5684555,7509235,-1824679,-1281052
2025-09-03,PT-sUSDE-25SEP2025,9801606,23585870,-13784264,-15065316
2025-09-04,PT-sUSDE-25SEP2025,39031919,44440668,-5408749,-20474065
2025-09-05,PT-sUSDE-25SEP2025,20535826,12199831,8335995,-12138070
2025-09-06,PT-sUSDE-25SEP2025,32978460,39688945,-6710485,-18848556
2025-09-07,PT-sUSDE-25SEP2025,4725068,12063687,-7338619,-26187175
2025-09-08,PT-sUSDE-25SEP2025,8788369,6054414,2733954,-23453221
2025-09-09,PT-sUSDE-25SEP2025,7528679,23820593,-16291915,-39745136
2025-09-10,PT-sUSDE-25SEP2025,5967749,4059243,1908506,-37836629
2025-09-11,PT-sUSDE-25SEP2025,6557008,3627400,2929608,-34907022
2025-09-12,PT-sUSDE-25SEP2025,19298092,18182801,1115291,-33791731
2025-09-13,PT-sUSDE-25SEP2025,55486445,78208850,-22722405,-56514135
2025-09-14,PT-sUSDE-25SEP2025,785925,6639036,-5853112,-62367247
2025-09-15,PT-sUSDE-25SEP2025,45175368,5913128,39262240,-23105007
2025-09-16,PT-sUSDE-25SEP2025,1803573,16500645,-14697072,-37802079
2025-09-17,PT-sUSDE-25SEP2025,445181,49534643,-49089461,-86891540
2025-09-18,PT-sUSDE-25SEP2025,11924366,504025246,-492100880,-578992420
2025-09-19,PT-sUSDE-25SEP2025,1201584,61315895,-60114311,-639106731
2025-09-20,PT-sUSDE-25SEP2025,278299,45222807,-44944508,-684051239
2025-09-21,PT-sUSDE-25SEP2025,9603134,11548739,-1945605,-685996844
2025-09-22,PT-sUSDE-25SEP2025,49463,266838121,-266788658,-952785502
2025-09-23,PT-sUSDE-25SEP2025,3971109,198580406,-194609296,-1147394799
2025-09-24,PT-sUSDE-25SEP2025,19841958,180159722,-160317764,-1307712563
2025-09-25,PT-sUSDE-25SEP2025,0,1215272870,-1215272870,-2522985433
2025-09-26,PT-sUSDE-25SEP2025,0,158316082,-158316082,-2681301515
2025-09-27,PT-sUSDE-25SEP2025,0,30557123,-30557123,-2711858637
2025-09-28,PT-sUSDE-25SEP2025,0,25816482,-25816482,-2737675119
2025-09-29,PT-sUSDE-25SEP2025,0,16730166,-16730166,-2754405285
2025-09-30,PT-sUSDE-25SEP2025,0,29322117,-29322117,-2783727402
2025-10-01,PT-sUSDE-25SEP2025,0,9957215,-9957215,-2793684618
