day,dau,txn_count,dau_7d_ma
2025-10-01,2012,3175,2012.0
2025-10-02,1844,3141,1928.0
2025-10-03,2048,3350,1968.0
2025-10-04,1783,3332,1921.8
2025-10-05,1436,2823,1824.6
2025-10-06,1510,2673,1772.2
2025-10-07,1328,2508,1708.7
2025-10-08,1418,2393,1623.9
2025-10-09,1489,2612,1573.1
2025-10-10,1207,2266,1453.0
2025-10-11,1409,2393,1399.6
2025-10-12,1203,2340,1366.3
2025-10-13,1319,2423,1339.0
2025-10-14,1647,2937,1384.6
2025-10-15,1526,2724,1400.0
2025-10-16,1759,2975,1438.6
2025-10-17,1249,1970,1444.6
2025-10-18,1262,2120,1423.6
2025-10-19,1280,2032,1434.6
2025-10-20,1318,2125,1434.4
2025-10-21,1073,1937,1352.4
2025-10-22,1361,2496,1328.9
2025-10-23,2140,3668,1383.3
2025-10-24,1455,2685,1412.7
2025-10-25,1149,2329,1396.6
2025-10-26,1111,1804,1372.4
2025-10-27,1201,1891,1355.7
2025-10-28,1530,2209,1421.0
2025-10-29,1610,2583,1456.6
2025-10-30,2570,3827,1518.0
2025-10-31,1534,2579,1529.3
2025-11-01,1111,1720,1523.9
2025-11-02,953,1484,1501.3
2025-11-03,1311,2012,1517.0
2025-11-04,1911,3175,1571.4
2025-11-05,6040,7456,2204.3
2025-11-06,8874,9845,3104.9
2025-11-07,1686,2551,3126.6
2025-11-08,1914,2801,3241.3
2025-11-09,1600,2331,3333.7
2025-11-10,1230,1839,3322.1
2025-11-11,1008,1559,3193.1
2025-11-12,1032,1591,2477.7
2025-11-13,1328,2132,1399.7
2025-11-14,961,1558,1296.1
2025-11-15,950,1581,1158.4
2025-11-16,882,1425,1055.9
2025-11-17,784,1213,992.1
2025-11-18,869,1283,972.3
2025-11-19,1041,1637,973.6
2025-11-20,1342,2190,975.6
2025-11-21,946,1439,973.4
2025-11-22,1032,1646,985.1
2025-11-23,754,1212,966.9
2025-11-24,846,1293,975.7
2025-11-25,1014,1745,996.4
2025-11-26,977,1855,987.3
2025-11-27,1622,2775,1027.3
2025-11-28,2007,3173,1178.9
2025-11-29,1516,2327,1248.0
2025-11-30,966,1496,1278.3
2025-12-01,837,1363,1277.0
2025-12-02,885,1529,1258.6
2025-12-03,1001,1586,1262.0
2025-12-04,1024,1680,1176.6
2025-12-05,826,1434,1007.9
2025-12-06,743,1151,897.4
2025-12-07,494,818,830.0
2025-12-08,612,969,797.9
2025-12-09,732,1251,776.0
2025-12-10,877,1466,758.3
2025-12-11,1601,2366,840.7
2025-12-12,807,1278,838.0
2025-12-13,1487,2002,944.3
2025-12-14,1561,1955,1096.7
2025-12-15,620,1221,1097.9
2025-12-16,677,1324,1090.0
2025-12-17,1244,1725,1142.4
2025-12-18,1371,2107,1109.6
2025-12-19,761,1181,1103.0
2025-12-20,633,1058,981.0
2025-12-21,517,849,831.9
2025-12-22,582,1070,826.4
2025-12-23,532,1160,805.7
2025-12-24,524,1044,702.9
2025-12-25,417,623,566.6
2025-12-26,427,724,518.9
2025-12-27,401,730,485.7
2025-12-28,393,696,468.0
2025-12-29,465,869,451.3
2025-12-30,502,1015,447.0
2025-12-31,524,903,447.0
