date,block,vePENDLE_supply,circ_supply,price,lock_rate_%
2025-09-25,23436335,42927362.71,169960115.03294307,4.7367219111771925,25.26
2025-10-01,23479244,43320871.15,169426815.81721622,4.473803047515365,25.57
2025-10-08,23529321,43556202.09,169655912.7786136,4.806804475591544,25.67
2025-10-15,23579376,43687726.85,169931251.04956758,3.6053155745171703,25.71
2025-10-22,23629362,44216709.22,168905238.7462751,3.124577723706733,26.18
2025-10-29,23679340,44582089.09,169319103.26267225,3.2316272976400646,26.33
2025-11-05,23729388,44930279.3,168563823.43843588,2.6316366063547836,26.65
2025-11-12,23779426,45618235.13,168157417.78430402,2.672462460594627,27.13
2025-11-19,23829428,47118553.68,165487194.22325358,2.4159723633180796,28.47
2025-11-26,23879220,48447285.04,164335504.81183067,2.4676763643669104,29.48
2025-12-03,23929211,48777822.74,164429300.20931795,2.6386945695981803,29.66
2025-12-10,23978633,48455589.9,164564904.87202203,2.3546865113450632,29.44
2025-12-17,24028610,48221138.57,164119097.11790532,2.0352929700871334,29.38
2025-12-24,24078751,48966466.89,163935556.3581226,1.686657848400842,29.87
2025-12-31,24128885,48869715.97,164904040.9876436,1.8510671450980638,29.64
