date,block,vePENDLE_supply,sPENDLE_supply,sPENDLE_adoption_proxy
2026-01-05,24164739,48729672.96,,
2026-01-12,24214913,48998950.14,,
2026-01-20,24272266,48713899.59,6.53,6.525
2026-01-27,24322444,52813650.2,11163279.25,11163279.252945675
2026-01-29,24336786,58250823.69,13621371.78,13621371.781153519
2026-02-02,24365454,57887287.16,16766977.83,16766977.831656132
2026-02-09,24415494,57249199.57,22831379.17,22831379.16968675
2026-02-16,24465654,56614805.66,25897192.13,25897192.12675928
2026-02-23,24515860,55981760.57,27794863.38,27794863.377171513
2026-03-02,24566044,55349647.81,29338027.38,29338027.380996644
2026-03-09,24616188,55455884.25,30242415.68,30242415.682223026
2026-03-16,24666339,54825854.35,30519561.92,30519561.92047472
2026-03-23,24716494,54197673.75,30598570.68,30598570.68287867
2026-03-30,24766692,53570965.46,30315359.9,30315359.90041747
2026-04-06,24816908,52944949.63,31169415.04,31169415.0430401
