date,daily_fees_usd,daily_revenue_usd,daily_volume_usd,tvl_usd,month
2021-06-16,,,,899394,2021-06
2021-06-17,,,,9289971,2021-06
2021-06-18,,,,13943597,2021-06
2021-06-19,,,,16034858,2021-06
2021-06-20,,,,16523770,2021-06
2021-06-21,,,,16786200,2021-06
2021-06-22,,,,17425764,2021-06
2021-06-23,,,,18265282,2021-06
2021-06-24,,,,19476800,2021-06
2021-06-25,,,,19419798,2021-06
2021-06-26,,,,19591314,2021-06
2021-06-28,,,,19866287,2021-06
2021-07-26,,,,23971534,2021-07
2021-07-27,,,,23092173,2021-07
2021-07-28,,,,22879238,2021-07
2021-07-29,,,,22763374,2021-07
2021-07-30,,,,23001351,2021-07
2021-07-31,,,,23053916,2021-07
2021-08-01,,,,22358530,2021-08
2021-08-02,,,,23201895,2021-08
2021-08-03,,,,23540316,2021-08
2021-08-04,,,,23427982,2021-08
2021-08-05,,,,23390108,2021-08
2021-08-06,,,,23369454,2021-08
2021-08-07,,,,23378056,2021-08
2021-08-08,,,,23487767,2021-08
2021-08-09,,,,23084076,2021-08
2021-08-10,,,,23251744,2021-08
2021-08-11,,,,23095181,2021-08
2021-08-12,,,,23222534,2021-08
2021-08-13,,,,23231246,2021-08
2021-08-14,,,,23278335,2021-08
2021-08-15,,,,23321109,2021-08
2021-08-16,,,,23242662,2021-08
2021-08-17,,,,23661572,2021-08
2021-08-18,,,,23578882,2021-08
2021-08-19,,,,23608041,2021-08
2021-08-20,,,,25076715,2021-08
2021-08-21,,,,23263488,2021-08
2021-08-22,,,,25120398,2021-08
2021-08-23,,,,25408719,2021-08
2021-08-24,,,,26810938,2021-08
2021-08-25,,,,26728666,2021-08
2021-08-26,,,,26841116,2021-08
2021-08-27,,,,26853655,2021-08
2021-08-28,,,,26823760,2021-08
2021-08-29,,,,26772219,2021-08
2021-08-30,,,,26697631,2021-08
2021-08-31,,,,26917762,2021-08
2021-09-01,,,,26862336,2021-09
2021-09-02,,,,27020912,2021-09
2021-09-03,,,,27276288,2021-09
2021-09-04,,,,27315162,2021-09
2021-09-05,,,,27328491,2021-09
2021-09-06,,,,27434876,2021-09
2021-09-07,,,,26989359,2021-09
2021-09-08,,,,25759128,2021-09
2021-09-09,,,,24072875,2021-09
2021-09-10,,,,32122754,2021-09
2021-09-11,,,,32189710,2021-09
2021-09-12,,,,31863263,2021-09
2021-09-13,,,,33783945,2021-09
2021-09-14,,,,34321469,2021-09
2021-09-15,,,,35001778,2021-09
2021-09-16,,,,34728814,2021-09
2021-09-17,,,,34832658,2021-09
2021-09-18,,,,34896630,2021-09
2021-09-19,,,,34703357,2021-09
2021-09-20,,,,34237882,2021-09
2021-09-21,,,,33348836,2021-09
2021-09-22,,,,33808300,2021-09
2021-09-23,,,,33350860,2021-09
2021-09-24,,,,33301160,2021-09
2021-09-25,,,,33087797,2021-09
2021-09-26,,,,33203015,2021-09
2021-09-27,,,,33183633,2021-09
2021-09-28,,,,33003569,2021-09
2021-09-29,,,,38197355,2021-09
2021-09-30,,,,37728519,2021-09
2021-10-01,,,,34936184,2021-10
2021-10-02,,,,32355584,2021-10
2021-10-03,,,,32220018,2021-10
2021-10-04,,,,31719164,2021-10
2021-10-05,,,,30854736,2021-10
2021-10-06,,,,27141363,2021-10
2021-10-07,,,,26924217,2021-10
2021-10-08,,,,26964145,2021-10
2021-10-09,,,,26911523,2021-10
2021-10-10,,,,27005910,2021-10
2021-10-11,,,,27048987,2021-10
2021-10-12,,,,27151097,2021-10
2021-10-13,,,,27160665,2021-10
2021-10-14,,,,28748961,2021-10
2021-10-15,,,,28039339,2021-10
2021-10-16,,,,27222629,2021-10
2021-10-17,,,,27320962,2021-10
2021-10-18,,,,27335909,2021-10
2021-10-19,,,,26982349,2021-10
2021-10-20,,,,27215824,2021-10
2021-10-21,,,,27715622,2021-10
2021-10-22,,,,27231096,2021-10
2021-10-23,,,,27586953,2021-10
2021-10-24,,,,27926786,2021-10
2021-10-25,,,,27291726,2021-10
2021-10-26,,,,27478663,2021-10
2021-10-27,,,,27575640,2021-10
2021-10-28,,,,27410535,2021-10
2021-10-29,,,,28043830,2021-10
2021-10-30,,,,27659651,2021-10
2021-10-31,,,,27433551,2021-10
2021-11-01,,,,27267939,2021-11
2021-11-02,,,,27258709,2021-11
2021-11-03,,,,27599610,2021-11
2021-11-04,,,,27789064,2021-11
2021-11-05,,,,27639868,2021-11
2021-11-06,,,,26598243,2021-11
2021-11-07,,,,26606497,2021-11
2021-11-08,,,,26517756,2021-11
2021-11-09,,,,26658605,2021-11
2021-11-10,,,,26328880,2021-11
2021-11-11,,,,25737345,2021-11
2021-11-12,,,,25404766,2021-11
2021-11-13,,,,25241425,2021-11
2021-11-14,,,,23947982,2021-11
2021-11-15,,,,24061710,2021-11
2021-11-16,,,,23576505,2021-11
2021-11-17,,,,36483872,2021-11
2021-11-18,,,,37373519,2021-11
2021-11-19,,,,36645471,2021-11
2021-11-20,,,,37677542,2021-11
2021-11-21,,,,37524202,2021-11
2021-11-22,,,,37047086,2021-11
2021-11-23,,,,36308055,2021-11
2021-11-24,,,,36381630,2021-11
2021-11-25,,,,36189838,2021-11
2021-11-26,,,,36425264,2021-11
2021-11-27,,,,35204346,2021-11
2021-11-28,,,,35232009,2021-11
2021-11-29,,,,35516670,2021-11
2021-11-30,,,,35740200,2021-11
2021-12-01,,,,35992368,2021-12
2021-12-02,,,,36114941,2021-12
2021-12-03,,,,35562259,2021-12
2021-12-04,,,,35274267,2021-12
2021-12-05,,,,35008011,2021-12
2021-12-06,,,,34785360,2021-12
2021-12-07,,,,36083742,2021-12
2021-12-08,,,,36163405,2021-12
2021-12-09,,,,35878744,2021-12
2021-12-10,,,,35418982,2021-12
2021-12-11,,,,34873415,2021-12
2021-12-12,,,,34738748,2021-12
