week,pt_volume,yt_volume,yt_pt_ratio,yt_pct_of_total
2025-09-01,1881010797,1554059855,0.8262,45.24
2025-09-08,4073514975,1842144137,0.4522,31.14
2025-09-15,6294482938,3168454616,0.5034,33.48
2025-09-22,17516444275,6697526605,0.3824,27.66
2025-09-29,1386699834,901282550,0.6499,39.39
2025-10-06,948210804,604327848,0.6373,38.93
2025-10-13,477368297,290887105,0.6094,37.86
2025-10-20,626680157,277369271,0.4426,30.68
2025-10-27,944823216,216427688,0.2291,18.64
2025-11-03,792473693,372901231,0.4706,32.00
2025-11-10,327833734,320520203,0.9777,49.44
2025-11-17,468019548,219770671,0.4696,31.95
2025-11-24,3100409613,528416871,0.1704,14.56
2025-12-01,743309672,106139560,0.1428,12.50
2025-12-08,302275444,106657455,0.3528,26.08
2025-12-15,291370764,269329722,0.9244,48.03
2025-12-22,257189288,224239132,0.8719,46.58
2025-12-29,109477039,94188896,0.8604,46.25
2026-01-05,208347727,86284970,0.4141,29.29
2026-01-12,240008895,139573686,0.5815,36.77
2026-01-19,201490321,67819121,0.3366,25.18
2026-01-26,344729518,163779041,0.4751,32.21
2026-02-02,1443551425,323504382,0.2241,18.31
2026-02-09,33450728,45399307,1.3572,57.58
2026-02-16,7316603,0,0.0000,0.00
2026-02-23,15145689,354,0.0000,0.00
2026-03-02,2119960,7888930,3.7213,78.82
2026-03-09,2705098,0,0.0000,0.00
2026-03-16,675989,16718891,24.7325,96.11
2026-03-23,1580244,0,0.0000,0.00
2026-03-30,319532,4238,0.0133,1.31
2026-04-06,37,0,0.0000,0.00
