date,label,gauge,address,weight_wad,total_wad,weight_pct
2023-01-01,3pool dominance era,3pool (DAI/USDC/USDT),0xbFcF63294aD7105dEa65aA58F8AE5BE2D9d0952A,2269307783588926769136000,536884719170173300335227976000000000000000000,0.0
2023-01-01,3pool dominance era,stETH/ETH,0x182B723a58739a9c974cFDB385ceaDb237453c28,50311801306958267260800,536884719170173300335227976000000000000000000,0.0
2023-01-01,3pool dominance era,crvUSD/USDC,0x95f00391cB5EebCd190EB58728B4CE23DbFaAFBE,0,536884719170173300335227976000000000000000000,0.0
2023-01-01,3pool dominance era,crvUSD/USDT,0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939,0,536884719170173300335227976000000000000000000,0.0
2023-07-01,crvUSD launch (May 2023),3pool (DAI/USDC/USDT),0xbFcF63294aD7105dEa65aA58F8AE5BE2D9d0952A,2086426944371617483305600,580027931802931010517016776000000000000000000,0.0
2023-07-01,crvUSD launch (May 2023),stETH/ETH,0x182B723a58739a9c974cFDB385ceaDb237453c28,42644406427520680742400,580027931802931010517016776000000000000000000,0.0
2023-07-01,crvUSD launch (May 2023),crvUSD/USDC,0x95f00391cB5EebCd190EB58728B4CE23DbFaAFBE,0,580027931802931010517016776000000000000000000,0.0
2023-07-01,crvUSD launch (May 2023),crvUSD/USDT,0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939,12837673693374026279529600,580027931802931010517016776000000000000000000,0.0
2024-01-01,post-crvUSD consolidation,3pool (DAI/USDC/USDT),0xbFcF63294aD7105dEa65aA58F8AE5BE2D9d0952A,2067394859759267695440000,630767257678671857849752776000000000000000000,0.0
2024-01-01,post-crvUSD consolidation,stETH/ETH,0x182B723a58739a9c974cFDB385ceaDb237453c28,29574978277093029849600,630767257678671857849752776000000000000000000,0.0
2024-01-01,post-crvUSD consolidation,crvUSD/USDC,0x95f00391cB5EebCd190EB58728B4CE23DbFaAFBE,0,630767257678671857849752776000000000000000000,0.0
2024-01-01,post-crvUSD consolidation,crvUSD/USDT,0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939,21875439884417414707104000,630767257678671857849752776000000000000000000,0.0
2025-01-01,current state,3pool (DAI/USDC/USDT),0xbFcF63294aD7105dEa65aA58F8AE5BE2D9d0952A,1683375561917131594377600,788400839122717729833995976000000000000000000,0.0
2025-01-01,current state,stETH/ETH,0x182B723a58739a9c974cFDB385ceaDb237453c28,4479259481954452540800,788400839122717729833995976000000000000000000,0.0
2025-01-01,current state,crvUSD/USDC,0x95f00391cB5EebCd190EB58728B4CE23DbFaAFBE,0,788400839122717729833995976000000000000000000,0.0
2025-01-01,current state,crvUSD/USDT,0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939,14763877645683467479046400,788400839122717729833995976000000000000000000,0.0
