name,address,tvl_usd,gauge
Curve.fi DAI/USDC/USDT,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,162942444.02645865,0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a
Curve.fi ETH/stETH,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,91148611.38149893,0x182b723a58739a9c974cfdb385ceadb237453c28
Curve.fi Factory USD Metapool: Liquity,0xEd279fDD11cA84bEef15AF5D39BB4d4bEE23F0cA,11937812.665000165,0x9b8519a9a00100720ccdc8a120fbed319ca47a14
Curve.fi Factory USD Metapool: Magic Internet Money 3Pool,0x5a6A4D54456819380173272A5E8E9B9904BdF41B,10035957.863971846,0xd8b712d29381748db89c36bca0138d7c75866ddf
Curve.fi FRAX/USDC,0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,5828724.390033782,0xcfc25170633581bf896cb6cdee170e3e3aa59503
Curve.fi ETH/frxETH,0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,4314672.767068879,0x2932a86df44fe8d2a706d8e9c5d51c24883423f5
Curve.fi aDAI/aUSDC/aUSDT,0xDeBF20617708857ebe4F679508E7b7863a8A8EeE,2398671.3894485077,0xd662908ada2ea1916b3318327a97eb18ad588b5d
Curve.fi GUSD/3Crv,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,1859164.008582249,0xc5cfada84e902ad92dd40194f0883ad49639b023
Curve.fi cyDAI/cyUSDC/cyUSDT,0x2dded6Da1BF5DBdF597C45fcFaa3194e53EcfeAF,1591760.8966902543,0xf5194c3325202f456c95c1cf0ca36f8475c1949f
Curve.fi MUSD/3Crv,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,657745.1543325288,0x5f626c30ec1215f4edcc9982265e8b1f411d1352
Curve.fi Factory USD Metapool: Frax,0xd632f22692FaC7611d2AA1C0D552930D43CAEd3B,637393.9079409178,0x72e158d38dbd50a483501c24f792bdaaa3e7d55c
Curve.fi renBTC/wBTC/sBTC,0x7fC77b5c7614E1533320Ea6DDc2Eb61fa00A9714,608236.615033206,0x705350c4bcd35c9441419ddd5d2f097d7a55410f
Curve.fi renBTC/wBTC,0x93054188d876f558f4a66B2EF1d97d16eDf0895B,582288.1138785956,0xb1f2cdec61db658f091671f5f199635aef202cac
Curve.fi cDAI/cUSDC,0xA2B47E3D5c44877cca798226B7B8118F9BFb7A56,568456.6731426014,0x7ca5b0a2910b33e9759dc7ddb0413949071d7575
Curve.fi LINK/sLINK,0xF178C0b5Bb7e7aBF4e12A4838C7b7c5bA2C623c0,282257.80512179405,0xfd4d8a17df4c27c1dd245d153ccf4499e806c87d
Curve.fi tBTC/sbtcCrv,0xC25099792E9349C7DD09759744ea681C7de2cb66,280580.50898091844,0x6828bcf74279ee32f2723ec536c22c51eed383c6
Curve.fi USD-BTC-ETH,0x80466c64868E1ab14a1Ddf27A676C3fcBE638Fe5,270791.63778351055,0x6955a55416a06839309018a8b0cb72c4ddc11f15
Curve.fi Factory USD Metapool: Alchemix USD,0x43b4FdFD4Ff969587185cDB6f0BD875c5Fc83f8c,256491.2126520847,0x9582c4adacb3bce56fea3e590f05c3ca2fb9c477
Curve.fi aDAI/aSUSD,0xEB16Ae0052ed37f479f7fe63849198Df1765a733,152655.24233194496,0x462253b8f74b72304c145db0e4eebd326b22ca39
Curve.fi ETH/aETH,0xA96A65c051bF88B4095Ee1f2451C2A9d43F53Ae2,122338.66137204063,0x6d10ed2cf043e6fcf51a0e7b4c2af3fa06695707
Curve.fi hBTC/wBTC,0x4CA9b3063Ec5866A4B82E437059D2C43d1be596F,105584.42803264808,0x4c18e409dc8619bfb6a1cb56d114c3f592e0ae79
Curve.fi USDN/3Crv,0x0f9cb53Ebe405d49A0bbdBD291A65Ff571bC83e1,105434.38552290841,0xf98450b5602fa59cc66e1379dffb6fddc724cfc4
Curve.fi USDK/3Crv,0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb,90157.95681029477,0xc2b1df84112619d190193e48148000e3990bf627
Curve.fi ETH/rETH,0xF9440930043eb3997fc70e1339dBb11F341de7A8,87013.57463389008,0x824f13f1a2f29cfeea81154b46c0fc820677a637
RAI3CRV,0x618788357D0EBd8A37e763ADab3bc575D54c2C7d,77027.04147042004,0x66ec719045bbd62db5ebb11184c18237d3cc2e62
Curve.fi bBTC/sbtcCRV,0x071c661B4DeefB59E2a3DdB20Db036821eeE8F4b,72572.16952496616,0xdfc7adfa664b08767b735de28f9e84cd30492aee
Curve.fi cDAI/cUSDC/USDT,0x52EA46506B9CC5Ef470C5bf89f17Dc28bB35D85C,52280.41641324056,0xbc89cd85491d81c6ad2954e6d0362ee29fca8f53
Curve.fi USDP/3Crv,0x42d7025938bEc20B69cBae5A77421082407f053A,41275.65942857879,0x055be5ddb7a925bfef3417fc157f53ca77ca7222
Curve.fi yDAI/yUSDC/yUSDT/yBUSD,0x79a8C46DeA5aDa233ABaFFD40F3A0A2B1e5A4F27,35583.452864537314,0x69fb7c45726cfe2badee8317005d3f94be838840
Curve.fi LinkUSD/3Crv,0xE7a24EF0C5e95Ffb0f6684b813A78F2a3AD7D171,30416.315436863457,
Curve.fi Factory USD Metapool: Binance USD,0x4807862AA8b2bF68830e4C8dc86D0e9A998e085a,27224.72576129897,0xd4b22fedca85e684919955061fdf353b9d38389b
Curve.fi EURS/sEUR,0x0Ce6a5fF5217e38315f87032CF90686C96627CAA,23509.96356104877,0x90bb609649e0451e5ad952683d64bd2d1f245840
Curve.fi ETH/sETH,0xc5424B857f758E906013F3555Dad202e4bdB4567,20751.480633064624,0x3c0ffff15ea30c35d7a85b85c0782d6c94e1d238
Curve.fi DAI/USDC/USDT/PAX,0x06364f10B501e868329afBc005b3492902d6C763,16840.37463760057,0x64e3c23bfc40722d3b649844055f1d51c1ac041d
Curve.fi FRAX/USDP,0xaE34574AC03A15cd58A92DC79De7B1A0800F1CE3,11296.448463757813,0xfb860600f1be1f1c72a89b2ef5caf345aff7d39d
Curve.fi wBTC/sBTC,0xf253f83AcA21aAbD2A20553AE0BF7F65C755A07F,8834.557287389309,0x6d787113f23bed1d5e1530402b3f364d0a6e5af3
Curve.fi ETH/wBETH,0xBfAb6FA95E0091ed66058ad493189D2cB29385E6,8442.35336085689,0x50161102a240b1456d770dbb55c76d8dc2d160aa
Curve.fi oBTC/sbtcCRV,0xd81dA8D904b52208541Bade1bD6595D8a251F8dd,7452.408211217358,0x11137b10c210b579405c21a07489e28f3c040ab1
Curve.fi Factory USD Metapool: TrueUSD,0xEcd5e75AFb02eFa118AF914515D6521aaBd189F1,6332.920889565342,0x359fd5d6417ae3d8d6497d9b2e7a890798262ba4
Curve.fi UST/3Crv,0x890f4e345B1dAED0367A877a1612f86A1f86985f,2336.9383864730835,0x3b7020743bc2a4ca9eaf9d0722d42e20d6935855
