date,protocol,totalLiquidityUSD
NaT,curve-finance,1163733.0
NaT,curve-finance,1372109.0
NaT,curve-finance,8936.0
NaT,curve-finance,38139.0
NaT,curve-finance,273331.0
NaT,curve-finance,1213755.0
NaT,curve-finance,1820510.0
NaT,curve-finance,2201773.0
NaT,curve-finance,3759265.0
NaT,curve-finance,4744228.0
NaT,curve-finance,4722690.0
NaT,curve-finance,4878760.0
NaT,curve-finance,5463582.0
NaT,curve-finance,5858274.0
NaT,curve-finance,5858033.0
NaT,curve-finance,6609923.0
NaT,curve-finance,6922673.0
NaT,curve-finance,7070846.0
NaT,curve-finance,7379504.0
NaT,curve-finance,6546834.0
NaT,curve-finance,6220751.0
NaT,curve-finance,6165412.0
NaT,curve-finance,7728222.0
NaT,curve-finance,8017541.0
NaT,curve-finance,8634720.0
NaT,curve-finance,8502678.0
NaT,curve-finance,8719687.0
NaT,curve-finance,9284550.0
NaT,curve-finance,9389837.0
NaT,curve-finance,9428474.0
NaT,curve-finance,9435472.0
NaT,curve-finance,9879108.0
NaT,curve-finance,9685931.0
NaT,curve-finance,8327827.0
NaT,curve-finance,8677925.0
NaT,curve-finance,9219342.0
NaT,curve-finance,10059294.0
NaT,curve-finance,9750298.0
NaT,curve-finance,9845306.0
NaT,curve-finance,9449456.0
NaT,curve-finance,9733492.0
NaT,curve-finance,9733634.0
NaT,curve-finance,9478976.0
NaT,curve-finance,8861705.0
NaT,curve-finance,8907410.0
NaT,curve-finance,8837491.0
NaT,curve-finance,8308593.0
NaT,curve-finance,8336110.0
NaT,curve-finance,8222028.0
NaT,curve-finance,8245852.0
NaT,curve-finance,8230167.0
NaT,curve-finance,8352047.0
NaT,curve-finance,8296823.0
NaT,curve-finance,8256559.0
NaT,curve-finance,8332824.0
NaT,curve-finance,8403195.0
NaT,curve-finance,8425144.0
NaT,curve-finance,8414112.0
NaT,curve-finance,8612067.0
NaT,curve-finance,8773125.0
NaT,curve-finance,8798742.0
NaT,curve-finance,9201425.0
NaT,curve-finance,8842564.0
NaT,curve-finance,8958124.0
NaT,curve-finance,9345173.0
NaT,curve-finance,8712066.0
NaT,curve-finance,8906671.0
NaT,curve-finance,7932635.0
NaT,curve-finance,7815798.0
NaT,curve-finance,7870971.0
NaT,curve-finance,7998600.0
NaT,curve-finance,6914533.0
NaT,curve-finance,6365744.0
NaT,curve-finance,6268488.0
NaT,curve-finance,7734405.0
NaT,curve-finance,10812138.0
NaT,curve-finance,11405445.0
NaT,curve-finance,12002871.0
NaT,curve-finance,12209819.0
NaT,curve-finance,12344466.0
NaT,curve-finance,12409473.0
NaT,curve-finance,12697303.0
NaT,curve-finance,12553192.0
NaT,curve-finance,12615378.0
NaT,curve-finance,12786795.0
NaT,curve-finance,12955746.0
NaT,curve-finance,12878031.0
NaT,curve-finance,13031401.0
NaT,curve-finance,13939214.0
NaT,curve-finance,14400117.0
NaT,curve-finance,14297036.0
NaT,curve-finance,14378242.0
NaT,curve-finance,13965069.0
NaT,curve-finance,14308016.0
NaT,curve-finance,14363007.0
NaT,curve-finance,14373353.0
NaT,curve-finance,15380944.0
NaT,curve-finance,15379380.0
NaT,curve-finance,15595507.0
NaT,curve-finance,15652181.0
NaT,curve-finance,15527071.0
NaT,curve-finance,15682537.0
NaT,curve-finance,15813509.0
NaT,curve-finance,15705677.0
NaT,curve-finance,15816506.0
NaT,curve-finance,15339331.0
NaT,curve-finance,15091233.0
NaT,curve-finance,15109405.0
NaT,curve-finance,15091761.0
NaT,curve-finance,15108738.0
NaT,curve-finance,15084472.0
NaT,curve-finance,15163289.0
NaT,curve-finance,15328991.0
NaT,curve-finance,15319069.0
NaT,curve-finance,15512141.0
NaT,curve-finance,15146809.0
NaT,curve-finance,15069162.0
NaT,curve-finance,15139177.0
NaT,curve-finance,15163362.0
NaT,curve-finance,15312759.0
NaT,curve-finance,15355030.0
NaT,curve-finance,15433570.0
NaT,curve-finance,15496889.0
NaT,curve-finance,16380139.0
NaT,curve-finance,16682313.0
NaT,curve-finance,17014578.0
NaT,curve-finance,17246158.0
NaT,curve-finance,17183677.0
NaT,curve-finance,16842637.0
NaT,curve-finance,16282542.0
NaT,curve-finance,16228128.0
NaT,curve-finance,17699445.0
NaT,curve-finance,20709987.0
NaT,curve-finance,33528559.0
NaT,curve-finance,36070920.0
NaT,curve-finance,36301201.0
NaT,curve-finance,37549857.0
NaT,curve-finance,43399952.0
NaT,curve-finance,46545535.0
NaT,curve-finance,48450667.0
NaT,curve-finance,50989736.0
NaT,curve-finance,50659646.0
NaT,curve-finance,51160758.0
NaT,curve-finance,50517255.0
NaT,curve-finance,52028684.0
NaT,curve-finance,52583727.0
NaT,curve-finance,56825075.0
NaT,curve-finance,58388016.0
NaT,curve-finance,59171555.0
NaT,curve-finance,61294035.0
NaT,curve-finance,61899813.0
NaT,curve-finance,69866695.0
NaT,curve-finance,71888836.0
NaT,curve-finance,72429385.0
NaT,curve-finance,72625443.0
NaT,curve-finance,76453893.0
NaT,curve-finance,76198020.0
NaT,curve-finance,77813809.0
NaT,curve-finance,79130622.0
NaT,curve-finance,78125418.0
NaT,curve-finance,80716609.0
NaT,curve-finance,115479812.0
NaT,curve-finance,187627170.0
NaT,curve-finance,279570477.0
NaT,curve-finance,304589406.0
NaT,curve-finance,356160454.0
NaT,curve-finance,382427110.0
NaT,curve-finance,351714389.0
NaT,curve-finance,421351743.0
NaT,curve-finance,269344181.0
NaT,curve-finance,213994541.0
NaT,curve-finance,185553428.0
NaT,curve-finance,225947236.0
NaT,curve-finance,272069485.0
NaT,curve-finance,291201881.0
NaT,curve-finance,294379688.0
NaT,curve-finance,314558219.0
NaT,curve-finance,267627907.0
NaT,curve-finance,259457534.0
NaT,curve-finance,262072303.0
NaT,curve-finance,267784990.0
NaT,curve-finance,266663292.0
NaT,curve-finance,259975190.0
NaT,curve-finance,258524351.0
NaT,curve-finance,234764595.0
