date,protocol,totalLiquidityUSD
2019-01-04,makerdao,273845651
2019-01-04,sky,273845651
2019-01-05,makerdao,288674544
2019-01-05,sky,288674544
2019-01-06,makerdao,297321259
2019-01-06,sky,297321259
2019-01-07,makerdao,286168221
2019-01-07,sky,286168221
2019-01-08,makerdao,285073686
2019-01-08,sky,285073686
2019-01-09,makerdao,278233166
2019-01-09,sky,278233166
2019-01-10,makerdao,105898455
2019-01-10,sky,105898455
2019-01-11,sky,244360898
2019-01-11,makerdao,244360898
2019-01-12,sky,278791638
2019-01-12,makerdao,278791638
2019-01-13,sky,245391943
2019-01-13,makerdao,245391943
2019-01-14,sky,178407107
2019-01-14,makerdao,178407107
2019-01-15,makerdao,249206208
2019-01-15,sky,249206208
2019-01-16,makerdao,251319025
2019-01-16,sky,251319025
2019-01-17,makerdao,254476809
2019-01-17,sky,254476809
2019-01-18,makerdao,265692973
2019-01-18,sky,265692973
2019-01-19,sky,232633384
2019-01-19,makerdao,232633384
2019-01-20,makerdao,239565945
2019-01-20,sky,239565945
2019-01-21,sky,236425378
2019-01-21,makerdao,236425378
2019-01-22,makerdao,229107169
2019-01-22,sky,229107169
2019-01-23,sky,223419377
2019-01-23,makerdao,223419377
2019-01-24,makerdao,231128356
2019-01-24,sky,231128356
2019-01-25,makerdao,229036911
2019-01-25,sky,229036911
2019-01-26,makerdao,229350909
2019-01-26,sky,229350909
2019-01-27,sky,232775186
2019-01-27,makerdao,232775186
2019-01-28,sky,227553078
2019-01-28,makerdao,227553078
2019-01-29,sky,99119725
2019-01-29,makerdao,99119725
2019-01-30,makerdao,206497811
2019-01-30,sky,206497811
2019-01-31,sky,210148472
2019-01-31,makerdao,210148472
2019-02-01,sky,216195888
2019-02-01,makerdao,216195888
2019-02-02,sky,214689445
2019-02-02,makerdao,214689445
2019-02-03,makerdao,217434805
2019-02-03,sky,217434805
2019-02-04,makerdao,217464838
2019-02-04,sky,217464838
2019-02-05,sky,216797962
2019-02-05,makerdao,216797962
2019-02-06,makerdao,218522363
2019-02-06,sky,218522363
2019-02-07,makerdao,210990225
2019-02-07,sky,210990225
2019-02-08,makerdao,216125664
2019-02-08,sky,216125664
2019-02-09,sky,220896084
2019-02-09,makerdao,220896084
2019-02-10,makerdao,246516060
2019-02-10,sky,246516060
2019-02-11,makerdao,243147997
2019-02-11,sky,243147997
2019-02-12,makerdao,249056274
2019-02-12,sky,249056274
2019-02-13,makerdao,246891104
2019-02-13,sky,246891104
2019-02-14,sky,252330117
