chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,sky-lending,SUSDS,6765177936,,,3.75,,d8c4eff5-c8a9-46fc-a888-057c4c668e72,0.0,0.0,-0.25,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 65, 'binnedConfidence': 2}",,4.55126,0.03543,410,False,['0xdC035D45d973E3EC169d2276DDab16f1e407384F'],,,3.7687,,,
Ethereum,sparklend,WSTETH,1237141172,0.0,,0.0,,3b45941c-16cb-48c5-a490-16c6c4f1d86a,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0014,0.00029,1060,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.0,,,
Ethereum,sky-lending,WETH,971134705,,,0.0,,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",ETH-C,0.0,0.0,1254,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.0,,,
Ethereum,spark-savings,USDT,888334840,3.0,,3.0,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,-0.04,-0.26,-0.06,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",,3.68304,0.0183,101,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.26907,,,
Ethereum,sparklend,USDS,595796685,,3.88124,3.88124,['0xc20059e0317DE91738d13af027DfC4a50781b066'],54e9b138-3146-4c1f-8dce-1cb948f5ef96,0.15591,-0.04392,-0.10419,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 54, 'binnedConfidence': 1}",SPK Farming Pool,4.00402,0.01062,36,False,['0xdC035D45d973E3EC169d2276DDab16f1e407384F'],,,4.0106,,,
Ethereum,sky-lending,WETH,529241111,,,0.0,,54600482-cfb9-4dd9-a73b-342cffd4644a,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",ETH-A,0.0,0.0,1254,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.0,,,
Ethereum,spark-savings,USDC,394034320,3.75,,3.75,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,-0.25,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",,3.92816,0.00573,101,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.76838,,,
Arbitrum,sky-lending,SUSDS,357162397,,,3.75,,3637ce7b-529b-49c1-964c-710a50b2939c,0.0,0.0,-0.25,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 3}",,3.86313,0.00633,53,False,['0x6491c05a82219b8d1479057361ff1654749b876b'],,,3.7687,,,
Ethereum,sky-lending,DAI,250571146,,,1.25,,c8a24fee-ec00-4f38-86c0-9f6daebc4225,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",DSR,4.3574,0.17297,1215,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,1.25,,,
Ethereum,sky-lending,WSTETH,232289240,,,0.0,,ccc467d1-bdf5-4062-81cd-7aed7dd9050b,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",WSTETH-B,0.0,0.0,1254,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.0,,,
