date,protocol,totalLiquidityUSD
2023-01-27,ondo-finance,135
2023-01-28,ondo-finance,315
2023-01-29,ondo-finance,315
2023-01-30,ondo-finance,315
2023-01-31,ondo-finance,495
2023-02-01,ondo-finance,500921
2023-02-02,ondo-finance,500921
2023-02-03,ondo-finance,500921
2023-02-04,ondo-finance,16020746
2023-02-05,ondo-finance,16020746
2023-02-06,ondo-finance,16020746
2023-02-07,ondo-finance,16020746
2023-02-08,ondo-finance,24800411
2023-02-09,ondo-finance,26050815
2023-02-10,ondo-finance,26050815
2023-02-11,ondo-finance,31312004
2023-02-12,ondo-finance,31312004
2023-02-13,ondo-finance,31312004
2023-02-14,ondo-finance,36586155
2023-02-15,ondo-finance,36586155
2023-02-16,ondo-finance,37365739
2023-02-17,ondo-finance,37365739
2023-02-18,ondo-finance,37522850
2023-02-19,ondo-finance,37522850
2023-02-20,ondo-finance,37522850
2023-02-21,ondo-finance,37522850
2023-02-22,ondo-finance,37525588
2023-02-23,ondo-finance,37885890
2023-02-24,ondo-finance,36903238
2023-02-25,ondo-finance,37916477
2023-02-26,ondo-finance,37916477
2023-02-27,ondo-finance,37916477
2023-02-28,ondo-finance,38019748
2023-03-01,ondo-finance,39660673
2023-03-02,ondo-finance,40659857
2023-03-03,ondo-finance,41146280
2023-03-04,ondo-finance,46064532
2023-03-05,ondo-finance,46064532
2023-03-06,ondo-finance,46064532
2023-03-07,ondo-finance,48768177
2023-03-08,ondo-finance,48771319
2023-03-09,ondo-finance,48763660
2023-03-10,ondo-finance,48765441
2023-03-11,ondo-finance,48191806
2023-03-12,ondo-finance,48191806
2023-03-13,ondo-finance,48191806
2023-03-14,ondo-finance,48613504
2023-03-15,ondo-finance,47647955
2023-03-16,ondo-finance,49499925
2023-03-17,ondo-finance,51548561
2023-03-18,ondo-finance,53345402
2023-03-19,ondo-finance,53345402
2023-03-20,ondo-finance,53345402
2023-03-21,ondo-finance,53081707
2023-03-22,ondo-finance,53171464
2023-03-23,ondo-finance,54156764
2023-03-24,ondo-finance,54175861
2023-03-25,ondo-finance,54210444
2023-03-26,ondo-finance,54210444
2023-03-27,ondo-finance,54210444
2023-03-28,ondo-finance,62732020
2023-03-29,ondo-finance,63331364
2023-03-30,ondo-finance,68182314
2023-03-31,ondo-finance,68190523
2023-04-01,ondo-finance,68005317
2023-04-02,ondo-finance,68005317
2023-04-03,ondo-finance,68005317
2023-04-04,ondo-finance,68010903
2023-04-05,ondo-finance,67863861
2023-04-06,ondo-finance,67863861
2023-04-07,ondo-finance,70547349
2023-04-08,ondo-finance,70546048
2023-04-09,ondo-finance,70546048
2023-04-10,ondo-finance,70546048
2023-04-11,ondo-finance,70446050
2023-04-12,ondo-finance,70923164
2023-04-13,ondo-finance,71378740
2023-04-14,ondo-finance,71384879
2023-04-15,ondo-finance,101522290
2023-04-16,ondo-finance,101522290
2023-04-17,ondo-finance,101522290
2023-04-18,ondo-finance,101683425
2023-04-19,ondo-finance,101891310
2023-04-20,ondo-finance,102064684
2023-04-21,ondo-finance,102721874
2023-04-22,ondo-finance,102577309
2023-04-23,ondo-finance,102577309
2023-04-24,ondo-finance,102577309
2023-04-25,ondo-finance,104586112
2023-04-26,ondo-finance,105193849
2023-04-27,ondo-finance,105221817
2023-04-28,ondo-finance,105230883
2023-04-29,ondo-finance,105249413
2023-04-30,ondo-finance,105249413
2023-05-01,ondo-finance,105249413
2023-05-02,ondo-finance,105401135
2023-05-03,ondo-finance,110203786
2023-05-04,ondo-finance,111594255
2023-05-05,ondo-finance,111594255
2023-05-06,ondo-finance,116384105
2023-05-07,ondo-finance,116384105
2023-05-08,ondo-finance,116384105
2023-05-09,ondo-finance,116484007
2023-05-10,ondo-finance,118231656
2023-05-11,ondo-finance,118231656
2023-05-12,ondo-finance,118231656
2023-05-13,ondo-finance,118231656
2023-05-14,ondo-finance,118231656
2023-05-15,ondo-finance,118231656
2023-05-16,ondo-finance,118231656
2023-05-17,ondo-finance,118231656
2023-05-18,ondo-finance,130005732
2023-05-19,ondo-finance,131783157
2023-05-20,ondo-finance,138464766
2023-05-21,ondo-finance,138464766
2023-05-22,ondo-finance,138464766
2023-05-23,ondo-finance,112062142
2023-05-24,ondo-finance,103581425
2023-05-25,ondo-finance,103581425
2023-05-26,ondo-finance,103581425
2023-05-27,ondo-finance,104080047
2023-05-28,ondo-finance,104080047
2023-05-29,ondo-finance,104080047
2023-05-30,ondo-finance,104080047
2023-05-31,ondo-finance,103502843
2023-06-01,ondo-finance,100474762
2023-06-02,ondo-finance,100574448
2023-06-03,ondo-finance,100574448
2023-06-04,ondo-finance,100574448
2023-06-05,ondo-finance,100574448
2023-06-06,ondo-finance,105934505
2023-06-07,ondo-finance,106238883
2023-06-08,ondo-finance,109923265
2023-06-09,ondo-finance,103898714
2023-06-10,ondo-finance,104356080
2023-06-11,ondo-finance,104356080
2023-06-12,ondo-finance,104356080
2023-06-13,ondo-finance,136197886
2023-06-14,ondo-finance,139466789
2023-06-15,ondo-finance,139466789
2023-06-16,ondo-finance,144589759
2023-06-17,ondo-finance,145683082
2023-06-18,ondo-finance,145632614
2023-06-19,ondo-finance,143613893
2023-06-20,ondo-finance,143613893
2023-06-21,ondo-finance,142169947
2023-06-22,ondo-finance,130822475
2023-06-23,ondo-finance,130181515
2023-06-24,ondo-finance,130080579
2023-06-25,ondo-finance,130080579
2023-06-26,ondo-finance,130080579
2023-06-27,ondo-finance,130131021
2023-06-28,ondo-finance,130131021
2023-06-29,ondo-finance,130329616
2023-06-30,ondo-finance,130329616
2023-07-01,ondo-finance,131569390
2023-07-02,ondo-finance,131569390
2023-07-03,ondo-finance,131569390
2023-07-04,ondo-finance,131569390
2023-07-05,ondo-finance,131569390
2023-07-06,ondo-finance,130967391
2023-07-07,ondo-finance,132150391
2023-07-08,ondo-finance,132261327
2023-07-09,ondo-finance,132261327
2023-07-10,ondo-finance,132261327
2023-07-11,ondo-finance,131795841
2023-07-12,ondo-finance,132787145
2023-07-13,ondo-finance,138646429
2023-07-14,ondo-finance,138646429
2023-07-15,ondo-finance,136001797
2023-07-16,ondo-finance,136001797
2023-07-17,ondo-finance,136001797
2023-07-18,ondo-finance,136001797
2023-07-19,ondo-finance,154567719
2023-07-20,ondo-finance,149574998
2023-07-21,ondo-finance,149683488
2023-07-22,ondo-finance,150152036
2023-07-23,ondo-finance,150152036
2023-07-24,ondo-finance,149981784
2023-07-25,ondo-finance,150195537
2023-07-26,ondo-finance,152223260
2023-07-27,ondo-finance,152191784
2023-07-28,ondo-finance,160227902
2023-07-29,ondo-finance,162362864
2023-07-30,ondo-finance,162370170
2023-07-31,ondo-finance,162336560
2023-08-01,ondo-finance,162397369
2023-08-02,ondo-finance,162349587
2023-08-03,ondo-finance,162339471
2023-08-04,ondo-finance,162987122
2023-08-05,ondo-finance,163354472
2023-08-06,ondo-finance,163292887
2023-08-07,ondo-finance,163345324
2023-08-08,ondo-finance,162908103
2023-08-09,ondo-finance,158666367
2023-08-10,ondo-finance,158569415
2023-08-11,ondo-finance,164674400
2023-08-12,ondo-finance,163893435
2023-08-13,ondo-finance,163859017
2023-08-14,ondo-finance,163894747
2023-08-15,ondo-finance,162791780
2023-08-16,ondo-finance,162292413
2023-08-17,ondo-finance,162090502
2023-08-18,ondo-finance,160860325
2023-08-19,ondo-finance,154602616
2023-08-20,ondo-finance,154448168
2023-08-21,ondo-finance,154448168
2023-08-22,ondo-finance,154461253
2023-08-23,ondo-finance,152593618
2023-08-24,ondo-finance,154433646
2023-08-25,ondo-finance,154418666
2023-08-26,ondo-finance,155401072
2023-08-27,ondo-finance,155401694
2023-08-28,ondo-finance,155366573
2023-08-29,ondo-finance,156504646
2023-08-30,ondo-finance,157906588
2023-08-31,ondo-finance,157690500
2023-09-01,ondo-finance,157703871
2023-09-02,ondo-finance,159210804
2023-09-03,ondo-finance,159184853
2023-09-04,ondo-finance,159124671
2023-09-05,ondo-finance,159210804
2023-09-06,ondo-finance,159259386
2023-09-07,ondo-finance,165067344
2023-09-08,ondo-finance,164674490
2023-09-09,ondo-finance,162686700
2023-09-10,ondo-finance,162731940
2023-09-11,ondo-finance,162845073
2023-09-12,ondo-finance,164610752
2023-09-13,ondo-finance,164552182
2023-09-14,ondo-finance,164401686
2023-09-15,ondo-finance,164592121
2023-09-16,ondo-finance,164501387
2023-09-17,ondo-finance,164413378
2023-09-18,ondo-finance,164501387
2023-09-19,ondo-finance,197253323
2023-09-20,ondo-finance,197208186
2023-09-21,ondo-finance,197879096
2023-09-22,ondo-finance,197956794
2023-09-23,ondo-finance,197827388
2023-09-24,ondo-finance,197858451
2023-09-25,ondo-finance,198056310
2023-09-26,ondo-finance,197822730
2023-09-27,ondo-finance,198758193
2023-09-28,ondo-finance,200415957
2023-09-29,ondo-finance,201089911
2023-09-30,ondo-finance,202420134
2023-10-01,ondo-finance,202320139
2023-10-02,ondo-finance,202420134
2023-10-03,ondo-finance,202267921
2023-10-04,ondo-finance,202523552
2023-10-05,ondo-finance,204017831
2023-10-06,ondo-finance,204179896
2023-10-07,ondo-finance,204273232
2023-10-08,ondo-finance,204273232
2023-10-09,ondo-finance,204277815
2023-10-10,ondo-finance,205598109
2023-10-11,ondo-finance,206872754
2023-10-12,ondo-finance,206989577
2023-10-13,ondo-finance,204842237
2023-10-14,ondo-finance,205043039
2023-10-15,ondo-finance,205036976
2023-10-16,ondo-finance,204965654
2023-10-17,ondo-finance,202202157
2023-10-18,ondo-finance,202483296
2023-10-19,ondo-finance,200932662
2023-10-20,ondo-finance,200997574
2023-10-21,ondo-finance,200355377
2023-10-22,ondo-finance,200355377
2023-10-23,ondo-finance,200356324
2023-10-24,ondo-finance,198874490
2023-10-25,ondo-finance,191003870
2023-10-26,ondo-finance,191018877
2023-10-27,ondo-finance,191072472
2023-10-28,ondo-finance,191166733
2023-10-29,ondo-finance,191166733
2023-10-30,ondo-finance,191166733
2023-10-31,ondo-finance,227553207
2023-11-01,ondo-finance,196662367
2023-11-02,ondo-finance,173730489
2023-11-03,ondo-finance,203628206
2023-11-04,ondo-finance,203446999
2023-11-05,ondo-finance,203451727
2023-11-06,ondo-finance,203456455
2023-11-07,ondo-finance,203442627
2023-11-08,ondo-finance,203551074
2023-11-09,ondo-finance,204110365
2023-11-10,ondo-finance,202905013
2023-11-11,ondo-finance,203035138
2023-11-12,ondo-finance,203096069
2023-11-13,ondo-finance,203065753
2023-11-14,ondo-finance,201545150
2023-11-15,ondo-finance,201296447
2023-11-16,ondo-finance,201387556
2023-11-17,ondo-finance,201154789
2023-11-18,ondo-finance,201114475
2023-11-19,ondo-finance,201086706
2023-11-20,ondo-finance,201235796
2023-11-21,ondo-finance,200990016
2023-11-22,ondo-finance,200853224
2023-11-23,ondo-finance,200572239
2023-11-24,ondo-finance,200632308
2023-11-25,ondo-finance,198582006
2023-11-26,ondo-finance,198672176
2023-11-27,ondo-finance,198643146
2023-11-28,ondo-finance,201261244
2023-11-29,ondo-finance,198713600
2023-11-30,ondo-finance,199058967
2023-12-01,ondo-finance,199089020
2023-12-02,ondo-finance,199327793
2023-12-03,ondo-finance,199429303
2023-12-04,ondo-finance,197399365
2023-12-05,ondo-finance,198371829
2023-12-06,ondo-finance,188453712
2023-12-07,ondo-finance,188443313
2023-12-08,ondo-finance,188033429
2023-12-09,ondo-finance,187797380
2023-12-10,ondo-finance,185982147
2023-12-11,ondo-finance,185993527
2023-12-12,ondo-finance,186774065
2023-12-13,ondo-finance,183543703
2023-12-14,ondo-finance,183123657
2023-12-15,ondo-finance,183072817
2023-12-16,ondo-finance,175520930
2023-12-17,ondo-finance,175721720
2023-12-18,ondo-finance,175583896
2023-12-19,ondo-finance,175871673
2023-12-20,ondo-finance,173792126
2023-12-21,ondo-finance,201759960
2023-12-22,ondo-finance,199218327
2023-12-23,ondo-finance,199278394
2023-12-24,ondo-finance,199483865
2023-12-25,ondo-finance,199510119
2023-12-26,ondo-finance,199526520
2023-12-27,ondo-finance,199154861
2023-12-28,ondo-finance,200510304
2023-12-29,ondo-finance,200890591
2023-12-30,ondo-finance,199571841
2023-12-31,ondo-finance,199434004
2024-01-01,ondo-finance,192215817
2024-01-02,ondo-finance,192720953
2024-01-03,ondo-finance,187820207
2024-01-04,ondo-finance,185961430
2024-01-05,ondo-finance,186973299
2024-01-06,ondo-finance,186733116
2024-01-07,ondo-finance,186732669
2024-01-08,ondo-finance,186908679
2024-01-09,ondo-finance,181310164
2024-01-10,ondo-finance,181410645
2024-01-11,ondo-finance,179788549
2024-01-12,ondo-finance,179722316
2024-01-13,ondo-finance,179554317
2024-01-14,ondo-finance,179945238
2024-01-15,ondo-finance,179965539
2024-01-16,ondo-finance,179763273
2024-01-17,ondo-finance,179864539
2024-01-18,ondo-finance,179471630
2024-01-19,ondo-finance,179483805
2024-01-20,ondo-finance,183254267
2024-01-21,ondo-finance,183357385
2024-01-22,ondo-finance,183383748
2024-01-23,ondo-finance,181992735
2024-01-24,ondo-finance,189050850
2024-01-25,ondo-finance,187032035
2024-01-26,ondo-finance,185599473
2024-01-27,ondo-finance,185920373
2024-01-28,ondo-finance,184393698
2024-01-29,ondo-finance,185896054
2024-01-30,ondo-finance,216130208
2024-01-31,ondo-finance,185665393
2024-02-01,ondo-finance,184531649
2024-02-02,ondo-finance,183659252
2024-02-03,ondo-finance,183060918
2024-02-04,ondo-finance,182998006
2024-02-05,ondo-finance,183190950
2024-02-06,ondo-finance,183125009
2024-02-07,ondo-finance,183136485
2024-02-08,ondo-finance,182434494
2024-02-09,ondo-finance,182143096
2024-02-10,ondo-finance,182328443
2024-02-11,ondo-finance,182451663
2024-02-12,ondo-finance,182389574
2024-02-13,ondo-finance,182722011
2024-02-14,ondo-finance,182476320
2024-02-15,ondo-finance,192104706
2024-02-16,ondo-finance,191560780
2024-02-17,ondo-finance,188177554
2024-02-18,ondo-finance,187848902
2024-02-19,ondo-finance,187977292
2024-02-20,ondo-finance,187924762
2024-02-21,ondo-finance,186808035
2024-02-22,ondo-finance,186361834
2024-02-23,ondo-finance,183078397
2024-02-24,ondo-finance,184479256
2024-02-25,ondo-finance,189664149
2024-02-26,ondo-finance,189836504
2024-02-27,ondo-finance,191357386
2024-02-28,ondo-finance,184686079
2024-02-29,ondo-finance,182668612
2024-03-01,ondo-finance,183086760
2024-03-02,ondo-finance,183023353
2024-03-03,ondo-finance,182645040
2024-03-04,ondo-finance,182896608
2024-03-05,ondo-finance,186731175
2024-03-06,ondo-finance,186583774
2024-03-07,ondo-finance,186124175
2024-03-08,ondo-finance,180958302
2024-03-09,ondo-finance,186429125
2024-03-10,ondo-finance,185954513
2024-03-11,ondo-finance,185479102
2024-03-12,ondo-finance,186177239
2024-03-13,ondo-finance,203503087
2024-03-14,ondo-finance,203895558
2024-03-15,ondo-finance,204241698
2024-03-16,ondo-finance,203004486
2024-03-17,ondo-finance,204009994
2024-03-18,ondo-finance,203004093
2024-03-19,ondo-finance,205179355
2024-03-20,ondo-finance,205598364
2024-03-21,ondo-finance,205443117
2024-03-22,ondo-finance,201618793
2024-03-23,ondo-finance,203724220
2024-03-24,ondo-finance,203230549
2024-03-25,ondo-finance,198385490
2024-03-26,ondo-finance,197928834
2024-03-27,ondo-finance,198635682
2024-03-28,ondo-finance,221196069
2024-03-29,ondo-finance,222333378
2024-03-30,ondo-finance,223357105
2024-03-31,ondo-finance,221473998
2024-04-01,ondo-finance,221474297
2024-04-02,ondo-finance,221421879
2024-04-03,ondo-finance,222086450
2024-04-04,ondo-finance,221159508
2024-04-05,ondo-finance,223198457
2024-04-06,ondo-finance,260479221
2024-04-07,ondo-finance,260913009
2024-04-08,ondo-finance,260976898
2024-04-09,ondo-finance,261018634
2024-04-10,ondo-finance,282005081
2024-04-11,ondo-finance,297728999
2024-04-12,ondo-finance,297730593
2024-04-13,ondo-finance,304055317
2024-04-14,ondo-finance,307239767
2024-04-15,ondo-finance,305044890
2024-04-16,ondo-finance,304033919
2024-04-17,ondo-finance,303348658
2024-04-18,ondo-finance,302624182
2024-04-19,ondo-finance,303945943
2024-04-20,ondo-finance,302893398
2024-04-21,ondo-finance,303705044
2024-04-22,ondo-finance,303355632
2024-04-23,ondo-finance,304130141
2024-04-24,ondo-finance,304240684
2024-04-25,ondo-finance,303775117
2024-04-26,ondo-finance,303753997
2024-04-27,ondo-finance,348296750
2024-04-28,ondo-finance,349642637
2024-04-29,ondo-finance,347744664
2024-04-30,ondo-finance,356690892
2024-05-01,ondo-finance,352673992
2024-05-02,ondo-finance,360645325
2024-05-03,ondo-finance,379123624
2024-05-04,ondo-finance,377893296
2024-05-05,ondo-finance,374109576
2024-05-06,ondo-finance,376298856
2024-05-07,ondo-finance,377232301
2024-05-08,ondo-finance,377703172
2024-05-09,ondo-finance,378049823
2024-05-10,ondo-finance,377274325
2024-05-11,ondo-finance,375928569
2024-05-12,ondo-finance,376529862
2024-05-13,ondo-finance,376903715
2024-05-14,ondo-finance,376924009
2024-05-15,ondo-finance,421862539
2024-05-16,ondo-finance,422034122
2024-05-17,ondo-finance,420902078
2024-05-18,ondo-finance,433292867
2024-05-19,ondo-finance,433355333
2024-05-20,ondo-finance,434354266
2024-05-21,ondo-finance,453510282
2024-05-22,ondo-finance,438089339
2024-05-23,ondo-finance,439077842
2024-05-24,ondo-finance,440122874
2024-05-25,ondo-finance,464429491
2024-05-26,ondo-finance,463917144
2024-05-27,ondo-finance,464835631
2024-05-28,ondo-finance,464311211
2024-05-29,ondo-finance,470135206
2024-05-30,ondo-finance,464580707
2024-05-31,ondo-finance,466955794
2024-06-01,ondo-finance,465252656
2024-06-02,ondo-finance,465428914
2024-06-03,ondo-finance,465179077
2024-06-04,ondo-finance,470505149
2024-06-05,ondo-finance,507207506
2024-06-06,ondo-finance,500285259
2024-06-07,ondo-finance,506685347
2024-06-08,ondo-finance,534863303
2024-06-09,ondo-finance,536063772
2024-06-10,ondo-finance,534855530
2024-06-11,ondo-finance,534305708
2024-06-12,ondo-finance,534305708
2024-06-13,ondo-finance,534305708
2024-06-14,ondo-finance,548638779
2024-06-15,ondo-finance,548638779
2024-06-16,ondo-finance,549916811
2024-06-17,ondo-finance,547521152
2024-06-18,ondo-finance,541842458
2024-06-19,ondo-finance,547761942
2024-06-20,ondo-finance,548593790
2024-06-21,ondo-finance,547453481
2024-06-22,ondo-finance,547487140
2024-06-23,ondo-finance,548065758
2024-06-24,ondo-finance,548065758
2024-06-25,ondo-finance,552363051
2024-06-26,ondo-finance,547867348
2024-06-27,ondo-finance,552256823
2024-06-28,ondo-finance,548386184
2024-06-29,ondo-finance,548535123
2024-06-30,ondo-finance,548603580
2024-07-01,ondo-finance,548217690
2024-07-02,ondo-finance,551798157
2024-07-03,ondo-finance,554436317
2024-07-04,ondo-finance,555927126
2024-07-05,ondo-finance,553605699
2024-07-06,ondo-finance,552791847
2024-07-07,ondo-finance,553562850
2024-07-08,ondo-finance,552934366
2024-07-09,ondo-finance,553909966
2024-07-10,ondo-finance,554294467
2024-07-11,ondo-finance,556089005
2024-07-12,ondo-finance,555534278
2024-07-13,ondo-finance,557802046
2024-07-14,ondo-finance,555611607
2024-07-15,ondo-finance,554811874
2024-07-16,ondo-finance,560290564
2024-07-17,ondo-finance,563536107
2024-07-18,ondo-finance,566385100
2024-07-19,ondo-finance,565939009
2024-07-20,ondo-finance,573735039
2024-07-21,ondo-finance,574940136
2024-07-22,ondo-finance,575019234
2024-07-23,ondo-finance,573977344
2024-07-24,ondo-finance,573972146
2024-07-25,ondo-finance,575756654
2024-07-26,ondo-finance,565751067
2024-07-27,ondo-finance,551020764
2024-07-28,ondo-finance,558600668
2024-07-29,ondo-finance,563594508
2024-07-30,ondo-finance,571074353
2024-07-31,ondo-finance,571921269
2024-08-01,ondo-finance,570412706
2024-08-02,ondo-finance,571310780
2024-08-03,ondo-finance,571269854
2024-08-04,ondo-finance,573001362
2024-08-05,ondo-finance,572471691
2024-08-06,ondo-finance,567349967
2024-08-07,ondo-finance,558751990
2024-08-08,ondo-finance,559006715
2024-08-09,ondo-finance,557375007
2024-08-10,ondo-finance,557413623
2024-08-11,ondo-finance,557691228
2024-08-12,ondo-finance,555569726
2024-08-13,ondo-finance,552577036
2024-08-14,ondo-finance,548446195
2024-08-15,ondo-finance,548562676
2024-08-16,ondo-finance,538924916
2024-08-17,ondo-finance,538936078
2024-08-18,ondo-finance,538890857
2024-08-19,ondo-finance,538926094
2024-08-20,ondo-finance,536288978
2024-08-21,ondo-finance,537127645
2024-08-22,ondo-finance,536801620
2024-08-23,ondo-finance,537078681
2024-08-24,ondo-finance,561513327
2024-08-25,ondo-finance,560430682
2024-08-26,ondo-finance,559207564
2024-08-27,ondo-finance,561740990
2024-08-28,ondo-finance,577515194
2024-08-29,ondo-finance,589769108
2024-08-30,ondo-finance,596817109
2024-08-31,ondo-finance,596832229
2024-09-01,ondo-finance,597358093
2024-09-02,ondo-finance,597112058
2024-09-03,ondo-finance,597443948
2024-09-04,ondo-finance,602923027
2024-09-05,ondo-finance,602132762
2024-09-06,ondo-finance,601687774
2024-09-07,ondo-finance,611805072
